Date,Close/Last,Volume,Open,High,Low
03/14/2022,$94.64,2350412,$94.66,$97.15,$93.19
03/11/2022,$94.59,3159064,$99.00,$99.81,$94.50
03/10/2022,$98.66,2966583,$101.145,$101.145,$97.58
03/09/2022,$101.74,2980681,$103.13,$103.76,$100.62
03/08/2022,$101.13,3764319,$103.94,$105.945,$101.055
03/07/2022,$104.71,4679535,$105.54,$109.13,$103.28
03/04/2022,$106.10,7700709,$107.915,$109.28,$101.615
03/03/2022,$110.14,18352710,$106.00,$112.96,$104.86
03/02/2022,$100.84,6182676,$96.83,$101.94,$96.5601
03/01/2022,$97.18,2629093,$95.73,$98.56,$95.45
02/28/2022,$96.64,3390555,$94.13,$97.10,$94.13
02/25/2022,$95.83,2929385,$92.62,$96.04,$91.44
02/24/2022,$91.58,2908729,$85.99,$91.85,$85.58
02/23/2022,$88.63,3588988,$91.44,$91.44,$87.84
02/22/2022,$90.55,5404710,$96.44,$96.795,$89.4364
02/18/2022,$97.71,1853092,$98.24,$99.275,$96.5407
02/17/2022,$98.63,1408092,$98.76,$100.1895,$98.10
02/16/2022,$99.63,2288952,$101.51,$101.51,$98.10
02/15/2022,$102.19,1660134,$101.99,$102.89,$101.44
02/14/2022,$100.64,2315287,$100.06,$101.99,$98.85
02/11/2022,$100.57,3466953,$100.29,$103.09,$99.36
02/10/2022,$100.47,2283266,$100.84,$102.7586,$100.09
02/09/2022,$102.22,1761884,$100.64,$102.355,$100.17
02/08/2022,$99.46,1780977,$97.84,$100.14,$97.25
02/07/2022,$97.58,1474020,$97.70,$98.16,$96.00
02/04/2022,$96.83,2132920,$97.26,$97.93,$95.23
02/03/2022,$97.10,1878554,$98.32,$99.25,$96.78
02/02/2022,$99.05,2408002,$100.24,$100.50,$97.11
02/01/2022,$100.45,1763695,$99.30,$100.68,$97.74
01/31/2022,$99.28,2362451,$96.97,$99.40,$96.96
01/28/2022,$97.64,1904319,$96.32,$97.67,$94.46
01/27/2022,$96.10,2213632,$98.89,$99.93,$95.55
01/26/2022,$96.92,2788506,$99.06,$100.33,$96.26
01/25/2022,$98.03,3751376,$98.64,$99.65,$95.57
01/24/2022,$101.38,5150383,$94.81,$101.48,$92.93
01/21/2022,$96.45,3406534,$94.73,$98.26,$94.4201
01/20/2022,$94.90,3846069,$100.03,$101.08,$94.68
01/19/2022,$99.35,2609551,$99.23,$101.765,$98.80
01/18/2022,$98.64,3696132,$98.81,$98.885,$96.34
